Vendor No.,Vendor Name,Item No.,Item Description,Unit Price,Lead Time Days,Min Order Qty,Preferred
V-10025,Rhone Composants,ITEM-1025,Potentiometre 10K Ohm,0.85,4,50,FALSE
V-10036,Oran Electrique,ITEM-1025,Potentiometre 10K Ohm,0.72,3,80,FALSE
V-10015,Orient Electronics,ITEM-1026,Module Bluetooth HC-05,4.20,14,30,FALSE
V-10020,SinoTech Supply,ITEM-1026,Module Bluetooth HC-05,3.90,15,50,FALSE
V-10025,Rhone Composants,ITEM-1026,Module Bluetooth HC-05,5.80,4,15,FALSE
V-10027,Tunis Microtech,ITEM-1026,Module Bluetooth HC-05,5.50,5,10,TRUE
V-10030,West-Coast Silicon,ITEM-1026,Module Bluetooth HC-05,6.00,8,15,FALSE
V-10010,Atlas Componentes,ITEM-1027,Module Wifi ESP8266,3.50,4,20,FALSE
V-10015,Orient Electronics,ITEM-1027,Module Wifi ESP8266,2.90,14,50,FALSE
V-10020,SinoTech Supply,ITEM-1027,Module Wifi ESP8266,2.70,15,100,FALSE
V-10025,Rhone Composants,ITEM-1027,Module Wifi ESP8266,4.10,4,15,TRUE
V-10030,West-Coast Silicon,ITEM-1027,Module Wifi ESP8266,3.20,8,30,FALSE
V-10010,Atlas Componentes,ITEM-1028,Tige Filetee M8 Inox 1m,4.00,4,15,FALSE
V-10014,Maghreb Outillage,ITEM-1028,Tige Filetee M8 Inox 1m,4.40,8,10,FALSE
V-10018,Nord-Afrique Metal,ITEM-1028,Tige Filetee M8 Inox 1m,3.90,7,10,TRUE
V-10021,Algerie Equipement,ITEM-1028,Tige Filetee M8 Inox 1m,4.30,3,10,FALSE
V-10034,Algiers Fasteners,ITEM-1028,Tige Filetee M8 Inox 1m,4.10,2,15,FALSE
V-10014,Maghreb Outillage,ITEM-1029,Profil Alumunium 2020 1m,7.80,8,10,FALSE
V-10018,Nord-Afrique Metal,ITEM-1029,Profil Alumunium 2020 1m,7.00,7,5,TRUE
V-10021,Algerie Equipement,ITEM-1029,Profil Alumunium 2020 1m,7.20,3,10,FALSE
V-10022,Iberica Distribution,ITEM-1029,Profil Alumunium 2020 1m,8.20,5,10,FALSE
V-10037,Pyrenees Outillage,ITEM-1029,Profil Alumunium 2020 1m,8.00,5,10,FALSE
V-10010,Atlas Componentes,ITEM-1030,Courroie Crantee GT2 6mm,2.30,4,15,FALSE
V-10014,Maghreb Outillage,ITEM-1030,Courroie Crantee GT2 6mm,2.20,8,20,FALSE
V-10019,Italia Hardware SpA,ITEM-1030,Courroie Crantee GT2 6mm,2.50,6,10,TRUE
V-10035,Nippon Precision Co,ITEM-1030,Courroie Crantee GT2 6mm,2.70,6,10,FALSE
V-10037,Pyrenees Outillage,ITEM-1030,Courroie Crantee GT2 6mm,2.40,5,15,FALSE
V-10010,Atlas Componentes,ITEM-1031,Poulie Crantee GT2 20 Dents,1.85,4,15,FALSE
V-10014,Maghreb Outillage,ITEM-1031,Poulie Crantee GT2 20 Dents,2.00,8,15,FALSE
V-10019,Italia Hardware SpA,ITEM-1031,Poulie Crantee GT2 20 Dents,1.90,6,10,TRUE
V-10035,Nippon Precision Co,ITEM-1031,Poulie Crantee GT2 20 Dents,2.10,6,10,FALSE
V-10037,Pyrenees Outillage,ITEM-1031,Poulie Crantee GT2 20 Dents,1.75,5,20,FALSE
V-10011,Biskra Tech,ITEM-1032,Vanne Solenoide 12V,11.80,6,5,FALSE
V-10013,EuroIndustrie GmbH,ITEM-1032,Vanne Solenoide 12V,12.50,5,5,TRUE
V-10029,Deutschland Sensor AG,ITEM-1032,Vanne Solenoide 12V,13.00,4,5,FALSE
V-10032,Sahara Power SARL,ITEM-1032,Vanne Solenoide 12V,10.50,5,10,FALSE
V-10036,Oran Electrique,ITEM-1032,Vanne Solenoide 12V,11.20,3,5,FALSE
V-10002,MegaSupply Co,ITEM-1033,Joint Torique NBR 10mm,3.10,7,10,FALSE
V-10014,Maghreb Outillage,ITEM-1033,Joint Torique NBR 10mm,2.90,8,15,FALSE
V-10023,Atlas Plastic SARL,ITEM-1033,Joint Torique NBR 10mm,2.80,6,10,TRUE
V-10033,Setif Plast,ITEM-1033,Joint Torique NBR 10mm,2.60,7,15,FALSE
V-10010,Atlas Componentes,ITEM-1034,Fil d Etain 0.8mm 250g,9.00,4,5,FALSE
V-10014,Maghreb Outillage,ITEM-1034,Fil d Etain 0.8mm 250g,9.20,8,5,TRUE
V-10025,Rhone Composants,ITEM-1034,Fil d Etain 0.8mm 250g,10.20,4,5,FALSE
V-10038,Soummam Distribution,ITEM-1034,Fil d Etain 0.8mm 250g,9.80,4,5,FALSE
V-10011,Biskra Tech,ITEM-1035,Multimetre Numerique,24.00,6,3,FALSE
V-10013,EuroIndustrie GmbH,ITEM-1035,Multimetre Numerique,25.00,5,2,TRUE
V-10016,Mediterranean Parts,ITEM-1035,Multimetre Numerique,23.50,5,5,FALSE
V-10029,Deutschland Sensor AG,ITEM-1035,Multimetre Numerique,28.00,4,2,FALSE
V-10036,Oran Electrique,ITEM-1035,Multimetre Numerique,22.50,3,4,FALSE
V-10001,ElectroPro Distribution,ITEM-1036,Gaine Tressee 10mm,1.35,5,50,FALSE
V-10017,Maghreb Connect SARL,ITEM-1036,Gaine Tressee 10mm,1.28,4,40,FALSE
V-10026,Constantine Cables,ITEM-1036,Gaine Tressee 10mm,1.30,3,50,TRUE
V-10039,Global Wire SARL,ITEM-1036,Gaine Tressee 10mm,1.25,5,100,FALSE
V-10002,MegaSupply Co,ITEM-1037,Carton d Emballage 30x20x15,7.80,7,50,FALSE
V-10012,Sahara Logistics,ITEM-1037,Carton d Emballage 30x20x15,8.20,3,40,FALSE
V-10023,Atlas Plastic SARL,ITEM-1037,Carton d Emballage 30x20x15,7.50,6,50,TRUE
V-10033,Setif Plast,ITEM-1037,Carton d Emballage 30x20x15,7.20,7,100,FALSE
V-10002,MegaSupply Co,ITEM-1038,Ruban Adhesif d Emballage,1.15,7,50,FALSE
V-10012,Sahara Logistics,ITEM-1038,Ruban Adhesif d Emballage,1.22,3,40,FALSE
V-10023,Atlas Plastic SARL,ITEM-1038,Ruban Adhesif d Emballage,1.10,6,50,TRUE
V-10033,Setif Plast,ITEM-1038,Ruban Adhesif d Emballage,1.05,7,100,FALSE
V-10001,ElectroPro Distribution,ITEM-1039,Cable Cuivre Denude 2.5mm2,1.75,5,100,FALSE
V-10015,Orient Electronics,ITEM-1039,Cable Cuivre Denude 2.5mm2,1.50,14,200,FALSE
V-10026,Constantine Cables,ITEM-1039,Cable Cuivre Denude 2.5mm2,1.70,3,100,TRUE
V-10039,Global Wire SARL,ITEM-1039,Cable Cuivre Denude 2.5mm2,1.65,5,200,FALSE
